Datum;Bestellung;Versand Land;Versandort;Produkt;Nettomenge;Bruttoumsatz
01.05.20;#1005;Germany;Obertshausen;Alaunstein;1;7.550
01.05.20;#1007;Germany;Hellenhahn;Alaunstein;1;7.550
01.05.20;#1008;Germany;Oldenburg;Alaunstein;1;7.550
01.05.20;#1012;Germany;Iserlohn;Alaunstein;1;8.990
01.05.20;#1017;Germany;Buxtehude;Alaunstein;1;7.550
02.05.20;#1021;Germany;Bad Dürkheim An Der Weinstraße;Alaunstein;1;8.990
04.05.20;#1028;Austria;Kufstein;Alaunstein;1;9.990
05.05.20;#1034;Germany;Velbert;Alaunstein;1;8.380
07.05.20;#1045;Germany;Piding;Alaunstein;1;8.390
08.05.20;#1047;Germany;Detmold;Alaunstein;1;8.390
09.05.20;#1055;Germany;Weingarten;Alaunstein;1;8.390
12.05.20;#1069;Germany;Calw;Alaunstein;1;8.390
13.05.20;#1073;Austria;Wien;Alaunstein;1;9.990
15.05.20;#1087;Germany;Hohne;Alaunstein;1;8.390
16.05.20;#1088;Germany;Essen;Alaunstein;1;8.390
16.05.20;#1089;Germany;Ettlingen;Alaunstein;1;8.390
17.05.20;#1094;Germany;Räbke;Alaunstein;1;8.400
19.05.20;#1101;Germany;Losheim Am See;Alaunstein;1;8.400
23.05.20;#1106;Germany;Memmingen;Alaunstein;1;8.390
23.05.20;#1107;Austria;Dornbirn;Alaunstein;1;9.990
24.05.20;#1109;Germany;Ravensburg;Alaunstein;1;8.390
24.05.20;#1110;Germany;Vöhringen;Alaunstein;1;8.380
29.05.20;#1116;Germany;Hellenhahn;Alaunstein;1;8.400
29.05.20;#1117;Germany;Hellenhahn;Alaunstein;1;8.400
29.05.20;#1120;Germany;Buseck;Alaunstein;1;8.390
06.06.20;#1129;Austria;Linz;Alaunstein;1;9.990
07.06.20;#1132;Germany;Brandenburg An Der Havel;Alaunstein;1;8.400
07.06.20;#1133;Germany;Hamburg;Alaunstein;2;16.790
09.06.20;#1134;Germany;Berlin;Alaunstein;1;9.990
11.06.20;#1138;Germany;Heidelberg;Alaunstein;1;8.380
11.06.20;#1139;Germany;Hannover;Alaunstein;1;8.390
11.06.20;#1141;Germany;München;Alaunstein;1;8.400
13.06.20;#1142;Germany;Leonberg;Alaunstein;1;8.380
15.06.20;#1145;Germany;München;Alaunstein;1;9.990
15.06.20;#1146;Germany;München;Alaunstein;1;8.400
16.06.20;#1150;Germany;Seevetal;Alaunstein;1;8.390
17.06.20;#1151;Germany;Dortmund;Alaunstein;1;8.380
17.06.20;#1152;Germany;Frankfurt;Alaunstein;1;8.400
17.06.20;#1155;Germany;Osterholz Scharmbeck;Alaunstein;1;8.400
18.06.20;#1156;Germany;Jettingen;Alaunstein;1;8.380
19.06.20;#1160;Germany;Rositz;Alaunstein;1;8.400
21.06.20;#1167;Germany;Berlin;Alaunstein;1;8.400
22.06.20;#1169;Germany;Kempen;Alaunstein;1;8.400
25.06.20;#1172;Germany;Celle;Alaunstein;1;8.400
26.06.20;#1173;Germany;Flörsheim;Alaunstein;1;8.380
26.06.20;#1176;Germany;Frankfurt Am Main;Alaunstein;1;8.400
27.06.20;#1177;Germany;Meine;Alaunstein;1;8.390
27.06.20;#1179;Germany;Berlin;Alaunstein;1;8.380
28.06.20;#1183;Germany;Barsbüttel;Alaunstein;1;8.400
01.07.20;#1199;Germany;Berlin;Alaunstein;1;8.620
03.07.20;#1205;Germany;Bedburg;Alaunstein;1;8.620
03.07.20;#1208;Germany;Eschwege;Alaunstein;1;8.610
05.07.20;#1223;Germany;Mönchengladbach;Alaunstein;1;8.610
05.07.20;#1232;Germany;Nauen Ot Markee;Alaunstein;1;8.620
06.07.20;#1238;Germany;Hamburg;Alaunstein;1;8.610
06.07.20;#1243;Germany;Butzbach;Alaunstein;1;8.610
06.07.20;#1247;Germany;Korschenbroich;Alaunstein;1;8.610
07.07.20;#1249;Germany;Hattingen;Alaunstein;1;8.610
07.07.20;#1251;Germany;Löhne;Alaunstein;1;8.620
07.07.20;#1254;Germany;Hannover;Alaunstein;1;8.610
07.07.20;#1255;Germany;Erkelenz;Alaunstein;1;8.620
07.07.20;#1256;Germany;Dortmund;Alaunstein;1;8.610
10.07.20;#1277;Germany;Eschwege;Alaunstein;1;8.610
10.07.20;#1280;Germany;Neuenkirchen;Alaunstein;1;8.610
11.07.20;#1281;Germany;Hamburg;Alaunstein;1;8.610
11.07.20;#1282;Germany;Fuldatal;Alaunstein;1;8.610
11.07.20;#1284;Germany;Dormagen;Alaunstein;1;8.620
11.07.20;#1285;Germany;Stuttgart;Alaunstein;1;8.610
11.07.20;#1287;Germany;Hainsfarth;Alaunstein;1;8.610
11.07.20;#1293;Germany;Bad Saulgau;Alaunstein;1;8.610
11.07.20;#1294;Germany;Wildeshausen;Alaunstein;1;8.610
11.07.20;#1295;Germany;Stuttgart;Alaunstein;1;8.610
12.07.20;#1300;Germany;Pinneberg;Alaunstein;1;8.610
12.07.20;#1301;Germany;Maxhütte Haidhof;Alaunstein;1;8.610
12.07.20;#1308;Germany;Salmünster;Alaunstein;1;8.610
12.07.20;#1310;Germany;Mülheim An Der Ruhr;Alaunstein;1;8.610
13.07.20;#1317;Germany;Obertshausen;Alaunstein;1;8.610
13.07.20;#1321;Germany;Munich;Alaunstein;1;8.620
15.07.20;#1327;Germany;Herrenberg;Alaunstein;1;8.610
15.07.20;#1330;Germany;Bardowick;Alaunstein;1;8.620
15.07.20;#1331;Germany;Varel;Alaunstein;1;8.610
15.07.20;#1333;Germany;Melle;Alaunstein;1;8.610
15.07.20;#1339;Germany;Horgenzell;Alaunstein;1;8.610
17.07.20;#1345;Germany;Siegelsdorf;Alaunstein;1;8.610
20.07.20;#1349;Germany;Jena;Alaunstein;1;8.620
20.07.20;#1353;Germany;Neustadta.d.aisch;Alaunstein;1;8.620
21.07.20;#1357;Germany;Bad Vilbel;Alaunstein;2;17.220
23.07.20;#1367;Germany;Neunkirchen;Alaunstein;1;8.610
24.07.20;#1369;Germany;Beckingen;Alaunstein;1;8.610
25.07.20;#1372;Germany;Idstein;Alaunstein;1;8.610
25.07.20;#1375;Germany;Muggensturm;Alaunstein;1;8.610
27.07.20;#1385;Germany;Coesfeld;Alaunstein;1;8.610
27.07.20;#1389;Germany;Kalchreuth;Alaunstein;1;8.610
29.07.20;#1392;Germany;Berlin;Alaunstein;1;8.610
30.07.20;#1396;Germany;Artern;Alaunstein;1;8.620
30.07.20;#1398;Germany;Kreuztal;Alaunstein;1;8.620
01.08.20;#1404;Germany;Plochingen;Alaunstein;1;8.620
03.08.20;#1415;Germany;Meersburg;Alaunstein;1;8.620
05.08.20;#1418;Germany;Stuttgart;Alaunstein;1;8.620
06.08.20;#1420;Germany;Burscheid;Alaunstein;1;8.610
06.08.20;#1421;Germany;Duisburg;Alaunstein;1;8.620
07.08.20;#1422;Germany;Gattendorf;Alaunstein;1;8.620
08.08.20;#1424;Germany;Achim;Alaunstein;1;8.620
08.08.20;#1426;Germany;Weyher In Der Pfalz;Alaunstein;1;8.610
09.08.20;#1427;Germany;Plochingen;Alaunstein;2;17.230
09.08.20;#1429;Germany;Herleshausen;Alaunstein;1;8.610
10.08.20;#1431;Germany;Neumarkt I.d.opf.;Alaunstein;1;8.610
15.08.20;#1448;Germany;Neukirchen Vluyn;Alaunstein;1;8.620
15.08.20;#1450;Germany;Neubiberg;Alaunstein;1;8.610
15.08.20;#1451;Germany;Berlin;Alaunstein;1;8.610
15.08.20;#1452;Germany;Lingen (Ems);Alaunstein;1;8.620
16.08.20;#1453;Germany;Dresden;Alaunstein;1;8.610
16.08.20;#1457;Germany;Greifswald;Alaunstein;1;8.610
16.08.20;#1460;Germany;Schmalkalden;Alaunstein;1;8.610
16.08.20;#1461;Germany;Aschaffenburg;Alaunstein;1;8.610
16.08.20;#1463;Germany;Neustadta.d.aisch;Alaunstein;1;8.610
19.08.20;#1480;Germany;Bad Dürrheim;Alaunstein;1;8.620
19.08.20;#1481;Germany;Nettetal;Alaunstein;1;8.620
19.08.20;#1483;Germany;Hennef (Sieg);Alaunstein;1;8.610
19.08.20;#1486;Germany;Ebstorf;Alaunstein;1;8.610
19.08.20;#1487;Germany;Springe;Alaunstein;1;8.620
19.08.20;#1488;Germany;Köln;Alaunstein;1;8.620
19.08.20;#1489;Germany;Ebersberg;Alaunstein;1;8.610
19.08.20;#1490;Germany;Leer;Alaunstein;1;8.620
19.08.20;#1491;Germany;Fürstenberg;Alaunstein;1;8.610
20.08.20;#1498;Germany;Ravensburg;Alaunstein;1;8.620
20.08.20;#1499;Germany;Leutenbach;Alaunstein;1;8.610
20.08.20;#1503;Germany;Dossenheim;Alaunstein;1;8.610
20.08.20;#1504;Germany;Magdeburg;Alaunstein;1;8.610
20.08.20;#1508;Germany;Bad Feilnbach;Alaunstein;1;8.610
20.08.20;#1509;Germany;Hamburg;Alaunstein;1;8.610
22.08.20;#1523;Germany;Dresden;Alaunstein;1;8.620
23.08.20;#1526;Germany;Kronshagen;Alaunstein;1;8.620
23.08.20;#1529;Germany;Bonn;Alaunstein;1;8.610
23.08.20;#1530;Germany;Bochum;Alaunstein;1;8.610
23.08.20;#1534;Germany;Südbrookmerland;Alaunstein;1;8.620
23.08.20;#1536;Germany;Bottrop;Alaunstein;1;8.610
23.08.20;#1540;Germany;Flörsheim;Alaunstein;1;8.610
24.08.20;#1542;Germany;Kaarst;Alaunstein;1;8.610
24.08.20;#1546;Germany;Reinheim;Alaunstein;1;8.610
24.08.20;#1550;Germany;Kupferberg;Alaunstein;1;8.610
24.08.20;#1554;Germany;49439;Alaunstein;1;8.610
25.08.20;#1557;Germany;Neufahrn Bei Freising (Mintraching);Alaunstein;1;8.610
25.08.20;#1558;Germany;Essen/Leithe;Alaunstein;1;8.610
25.08.20;#1559;Germany;Mã¼Nchen;Alaunstein;1;8.620
25.08.20;#1560;Germany;Eching Am Ammersee;Alaunstein;1;8.610
25.08.20;#1566;Germany;Neustadt An Der Aisch;Alaunstein;1;8.610
25.08.20;#1567;Germany;Forchheim;Alaunstein;1;8.610
25.08.20;#1568;Germany;Südbrookmerland;Alaunstein;1;8.610
25.08.20;#1571;Germany;Witzenhausen;Alaunstein;1;8.610
25.08.20;#1572;Germany;Bochum;Alaunstein;1;8.600
26.08.20;#1582;Germany;Griesheim;Alaunstein;1;8.610
27.08.20;#1583;Germany;Wiesbaden;Alaunstein;1;8.610
27.08.20;#1584;Germany;Hille;Alaunstein;1;8.610
27.08.20;#1586;Germany;Coburg;Alaunstein;1;8.620
27.08.20;#1587;Germany;Niederalben;Alaunstein;1;8.620
27.08.20;#1588;Germany;Kiedrich;Alaunstein;1;8.610
28.08.20;#1598;Germany;Seelze;Alaunstein;1;8.610
28.08.20;#1604;Germany;Augsburg;Alaunstein;1;8.610
28.08.20;#1607;Denmark;Rindby Strand / Fanø;Alaunstein;1;9.990
29.08.20;#1614;Germany;Itzehoe;Alaunstein;1;8.610
29.08.20;#1617;Germany;Weissenhorn;Alaunstein;1;8.610
29.08.20;#1618;Germany;Hanau;Alaunstein;1;8.610
30.08.20;#1623;Germany;Sankt Augustin;Alaunstein;1;8.610
30.08.20;#1628;Germany;Düsseldorf;Alaunstein;1;8.610
30.08.20;#1633;Germany;Berlin;Alaunstein;1;8.610
31.08.20;#1634;Germany;Ebersberg;Alaunstein;1;8.610
31.08.20;#1636;Germany;Schwarzburg;Alaunstein;1;8.610
31.08.20;#1639;Germany;Osterholz Scharmbeck;Alaunstein;1;8.620
31.08.20;#1640;Germany;Marburg;Alaunstein;1;8.620
01.09.20;#1643;Germany;Leer (Ostfriesland);Alaunstein;1;8.610
01.09.20;#1653;Germany;Augsburg;Alaunstein;1;8.620
01.09.20;#1654;Germany;Lauter Bernsbach;Alaunstein;1;8.620
02.09.20;#1659;Germany;Oer Erkenschwick;Alaunstein;1;8.610
02.09.20;#1664;Germany;Bamberg;Alaunstein;1;8.610
02.09.20;#1668;Germany;Krummhörn;Alaunstein;1;8.610
03.09.20;#1670;Germany;Pommelsbrunn;Alaunstein;1;8.610
03.09.20;#1674;Germany;Kelheim;Alaunstein;1;8.610
03.09.20;#1675;Germany;Dortmund;Alaunstein;1;8.610
03.09.20;#1680;Germany;Neumarkt;Alaunstein;1;8.620
03.09.20;#1682;Germany;Oberursel;Alaunstein;1;8.620
03.09.20;#1683;Germany;Hamburg;Alaunstein;1;8.620
04.09.20;#1686;Germany;Bonn;Alaunstein;1;8.620
04.09.20;#1688;Germany;Almstedt;Alaunstein;1;8.610
05.09.20;#1696;Germany;Wöllstadt;Alaunstein;1;8.610
05.09.20;#1697;Germany;Magdeburg;Alaunstein;1;8.610
05.09.20;#1702;Germany;Hemer;Alaunstein;1;8.610
06.09.20;#1706;Germany;Braunschweig;Alaunstein;1;8.620
06.09.20;#1707;Germany;Vilshofen;Alaunstein;1;8.610
07.09.20;#1713;Germany;Wermelskirchen;Alaunstein;1;8.610
07.09.20;#1717;Germany;Berlin;Alaunstein;1;8.610
08.09.20;#1722;Germany;Duisburg;Alaunstein;1;8.620
08.09.20;#1723;Germany;Deißlingen;Alaunstein;1;8.610
10.09.20;#1733;Germany;Bad Vilbel;Alaunstein;1;8.610
10.09.20;#1736;Germany;Bitburg;Alaunstein;1;8.610
11.09.20;#1740;Germany;Ratingen;Alaunstein;1;8.620
11.09.20;#1741;Germany;Hamm;Alaunstein;1;8.610
11.09.20;#1744;Germany;Kiel;Alaunstein;1;8.610
12.09.20;#1757;Germany;Potsdam;Alaunstein;1;8.610
13.09.20;#1763;Germany;Gütersloh;Alaunstein;1;8.610
13.09.20;#1770;Germany;Sprendlingen;Alaunstein;1;8.610
14.09.20;#1778;Germany;Dormagen;Alaunstein;1;8.610
15.09.20;#1781;Germany;Burgkirchen A.d.alz;Alaunstein;1;8.610
15.09.20;#1782;Germany;Baar Ebenhausen;Alaunstein;1;8.610
15.09.20;#1783;Germany;Eschweiler;Alaunstein;1;8.610
16.09.20;#1795;Germany;Strausberg;Alaunstein;1;9.990
16.09.20;#1799;Germany;Augsburg;Alaunstein;1;8.610
17.09.20;#1801;Germany;Rostock;Alaunstein;1;8.610
18.09.20;#1807;Germany;Appen;Alaunstein;1;8.610
19.09.20;#1819;Germany;Groß Umstadt;Alaunstein;1;8.610
20.09.20;#1821;Germany;Halle Saale;Alaunstein;1;8.610
20.09.20;#1823;Germany;Stuttgart;Alaunstein;1;8.610
20.09.20;#1825;Germany;Arnstein;Alaunstein;1;8.610
20.09.20;#1835;Germany;Nidderau;Alaunstein;1;8.610
21.09.20;#1839;Germany;Fellen;Alaunstein;1;8.610
22.09.20;#1846;Germany;Nürnberg;Alaunstein;1;8.610
22.09.20;#1847;Germany;Lüdenscheid;Alaunstein;1;8.610
26.09.20;#1863;Germany;Achim;Alaunstein;1;8.610
27.09.20;#1869;Germany;Contwig;Alaunstein;1;8.610
28.09.20;#1875;Germany;Wuppertal;Alaunstein;1;8.610
29.09.20;#1878;Germany;Königstein;Alaunstein;1;8.610
01.10.20;#1896;Germany;Wennigsen (Deister);Alaunstein;1;8.610
02.10.20;#1899;Germany;Lahnstein;Alaunstein;1;8.610
03.10.20;#1903;Germany;Jüterbog;Alaunstein;1;8.610
03.10.20;#1907;Germany;Cottbus;Alaunstein;1;8.610
04.10.20;#1910;Germany;Bad Salzuflen;Alaunstein;1;8.610
05.10.20;#1920;Germany;Worms;Alaunstein;1;8.610
05.10.20;#1921;Germany;Langenbernsdorf;Alaunstein;1;8.610
07.10.20;#1936;Germany;Wörth;Alaunstein;1;8.610
07.10.20;#1938;Germany;Rödental;Alaunstein;1;8.610
08.10.20;#1942;Germany;Weimar;Alaunstein;1;8.610
09.10.20;#1943;Germany;Dorsten;Alaunstein;1;8.610
10.10.20;#1946;Germany;Bad Neuenahr Ahrweiler;Alaunstein;1;8.610
11.10.20;#1948;Germany;Obertshausen;Alaunstein;1;8.610
12.10.20;#1952;Germany;Buchenberg;Alaunstein;1;8.610
15.10.20;#1960;Germany;Kaiserslautern;Alaunstein;1;8.610
18.10.20;#1966;Germany;Königsbach Stein;Alaunstein;1;8.610
23.10.20;#1980;Germany;Bad Wiessee;Alaunstein;1;8.610
24.10.20;#1982;Germany;Rosbach Vor Der Höhe;Alaunstein;1;8.610
25.10.20;#1990;Germany;Bad Salzuflen;Alaunstein;1;8.610
25.10.20;#1995;Germany;Euskirchen;Alaunstein;1;8.610
31.10.20;#2033;Germany;Ratingen;Alaunstein;2;17.220
01.11.20;#2042;Germany;Bruchsal;Alaunstein;1;8.610
01.11.20;#2050;Germany;Drensteinfurt;Alaunstein;1;8.610
01.11.20;#2055;Germany;Starnberg;Alaunstein;1;8.610
02.11.20;#2057;Germany;Leverkusen;Alaunstein;1;8.610
03.11.20;#2071;Germany;Kehl Goldscheuer;Alaunstein;1;8.610
03.11.20;#2073;Germany;Tangstedt;Alaunstein;1;8.610
03.11.20;#2085;Germany;Berlin;Alaunstein;1;8.610
04.11.20;#2086;Germany;Celle;Alaunstein;1;8.610
04.11.20;#2093;Germany;Augsburg;Alaunstein;1;8.610
05.11.20;#2102;Germany;Burg;Alaunstein;1;8.610
05.11.20;#2110;Germany;Dresden;Alaunstein;1;8.610
06.11.20;#2114;Germany;Kalkar;Alaunstein;1;8.610
07.11.20;#2124;Germany;Korschenbroich;Alaunstein;1;8.610
08.11.20;#2132;Germany;Halle (Saale);Alaunstein;1;8.610
08.11.20;#2138;Germany;Aichwald;Alaunstein;1;8.610
10.11.20;#2148;Germany;Berlin;Alaunstein;1;8.610
11.11.20;#2165;Germany;Hamm;Alaunstein;2;17.220
11.11.20;#2166;Germany;Göppingen;Alaunstein;1;8.610
12.11.20;#2178;Germany;Bobritzsch Hilbersdorf;Alaunstein;1;8.610
13.11.20;#2199;Germany;Renningen;Alaunstein;1;8.610
14.11.20;#2208;Germany;Essen;Alaunstein;1;8.610
15.11.20;#2210;Germany;Reichenberg;Alaunstein;1;8.610
15.11.20;#2211;Germany;Mühlheim;Alaunstein;1;8.610
15.11.20;#2219;Germany;Osnabrück;Alaunstein;1;8.610
16.11.20;#2226;Germany;Fockbek;Alaunstein;1;9.990
16.11.20;#2229;Germany;Himmelpforten;Alaunstein;1;8.610
17.11.20;#2239;Germany;Aachen;Alaunstein;1;8.610
18.11.20;#2251;Germany;Ditzingen;Alaunstein;1;8.610
18.11.20;#2259;Germany;Kerpen;Alaunstein;1;8.610
19.11.20;#2265;Germany;Neuffen;Alaunstein;1;8.610
19.11.20;#2275;Germany;Bad Wilsnack;Alaunstein;1;8.610
20.11.20;#2278;Germany;Sulstorf;Alaunstein;1;8.610
20.11.20;#2281;Germany;Voerde;Alaunstein;1;8.610
21.11.20;#2291;Germany;Penzing;Alaunstein;1;8.610
21.11.20;#2319;Germany;Berlin;Alaunstein;1;9.990
22.11.20;#2333;Germany;Fichtenau;Alaunstein;1;8.610
22.11.20;#2338;Germany;Hüttenberg;Alaunstein;1;9.990
23.11.20;#2347;Germany;Furth;Alaunstein;1;8.610
23.11.20;#2353;Germany;Köln;Alaunstein;1;8.610
24.11.20;#2359;Germany;Hamburg;Alaunstein;1;8.610
24.11.20;#2365;Germany;Berlin;Alaunstein;1;8.610
24.11.20;#2369;Germany;Rehling;Alaunstein;1;8.610
24.11.20;#2370;Germany;Flensburg;Alaunstein;1;8.610
25.11.20;#2378;Germany;Alfter;Alaunstein;1;8.610
26.11.20;#2393;Germany;Gemmingen;Alaunstein;1;8.610
26.11.20;#2401;Germany;Potsdam;Alaunstein;1;8.610
26.11.20;#2407;Germany;Wegberg;Alaunstein;1;8.610
26.11.20;#2410;Germany;Brilon;Alaunstein;1;6.450
27.11.20;#2417;Germany;Rain Am Lech;Alaunstein;1;6.460
27.11.20;#2425;Germany;Nußloch;Alaunstein;1;6.460
27.11.20;#2426;Germany;Düsseldorf;Alaunstein;1;6.460
27.11.20;#2428;Germany;Karlsruhe;Alaunstein;1;6.460
27.11.20;#2431;Germany;Reinsdorf;Alaunstein;1;6.460
27.11.20;#2435;Germany;Karlsruhe;Alaunstein;1;6.460
27.11.20;#2436;Germany;Hallerndorf;Alaunstein;1;6.460
27.11.20;#2445;Germany;Forchheim;Alaunstein;1;6.460
27.11.20;#2463;Germany;Cuxhaven;Alaunstein;1;6.460
27.11.20;#2466;Germany;Bergkamen;Alaunstein;1;6.450
27.11.20;#2467;Germany;Hauzenberg;Alaunstein;1;6.460
27.11.20;#2469;Germany;Flieden;Alaunstein;1;6.460
27.11.20;#2472;Germany;Augsgurg;Alaunstein;2;12.910
27.11.20;#2473;Germany;Augsburg;Alaunstein;1;6.460
27.11.20;#2474;Germany;Hamburg;Alaunstein;1;6.460
27.11.20;#2476;Germany;Hamburg;Alaunstein;1;6.460
27.11.20;#2492;Germany;Konstanz;Alaunstein;1;6.460
27.11.20;#2495;Germany;Augsburg;Alaunstein;1;6.460
27.11.20;#2497;Germany;Bendestorf;Alaunstein;1;6.460
27.11.20;#2498;Germany;Halle;Alaunstein;1;6.460
27.11.20;#2502;Germany;Bad Honnef;Alaunstein;1;6.460
27.11.20;#2518;Germany;Xanten;Alaunstein;1;6.460
27.11.20;#2527;Germany;Taucha;Alaunstein;1;6.460
27.11.20;#2535;Germany;Vörstetten;Alaunstein;1;6.460
27.11.20;#2542;Germany;Hamburg;Alaunstein;1;6.460
28.11.20;#2549;Germany;Hannover;Alaunstein;1;6.450
28.11.20;#2552;Germany;Usler;Alaunstein;1;6.460
28.11.20;#2559;Switzerland;Chur;Alaunstein;1;7.490
28.11.20;#2562;Germany;Erkrath;Alaunstein;1;6.460
28.11.20;#2565;Germany;Leipzig;Alaunstein;1;6.460
28.11.20;#2571;Germany;Halle;Alaunstein;1;6.460
28.11.20;#2581;Germany;Dortmund;Alaunstein;1;6.460
28.11.20;#2587;Germany;Oldenburg;Alaunstein;1;6.460
28.11.20;#2590;Germany;Spenge;Alaunstein;1;6.460
29.11.20;#2598;Germany;Schortens;Alaunstein;1;6.460
29.11.20;#2606;Germany;Stuhr;Alaunstein;1;6.460
29.11.20;#2608;Germany;Rosendahl;Alaunstein;1;6.460
29.11.20;#2618;Germany;Versmold;Alaunstein;1;6.460
29.11.20;#2619;Germany;Hamburg;Alaunstein;1;6.460
29.11.20;#2622;Germany;Hannover;Alaunstein;1;6.460
29.11.20;#2628;Germany;Biebergemünd;Alaunstein;1;6.460
29.11.20;#2633;Germany;Ludwigsburg;Alaunstein;2;12.910
29.11.20;#2639;Germany;Lambrecht;Alaunstein;1;6.460
29.11.20;#2645;Germany;Münster;Alaunstein;1;6.460
29.11.20;#2647;Germany;Rheinbach;Alaunstein;1;6.460
29.11.20;#2653;Germany;Blaubeuren;Alaunstein;1;6.460
30.11.20;#2663;Germany;Berlin;Alaunstein;1;6.460
30.11.20;#2666;Germany;Tettnang;Alaunstein;1;6.460
30.11.20;#2671;Germany;Geislingen;Alaunstein;3;19.370
30.11.20;#2687;Austria;Linz;Alaunstein;1;6.450
30.11.20;#2694;Germany;Gernsheim;Alaunstein;1;6.460
30.11.20;#2696;Germany;Bremen;Alaunstein;1;6.460
30.11.20;#2697;Germany;Erlangen;Alaunstein;1;6.460
30.11.20;#2702;Germany;Gernsbach;Alaunstein;1;6.460
30.11.20;#2706;Germany;Neckarzimmern;Alaunstein;1;6.460
01.12.20;#2714;Germany;Berlin;Alaunstein;1;8.610
01.12.20;#2717;Germany;Herne;Alaunstein;1;8.610
02.12.20;#2734;Germany;Passau;Alaunstein;1;8.610
02.12.20;#2737;Germany;Schwanfeld;Alaunstein;1;8.610
04.12.20;#2764;Germany;Groß Gerau;Alaunstein;1;8.610
04.12.20;#2779;Germany;Wessobrunn;Alaunstein;1;8.610
04.12.20;#2782;Germany;Bremen;Alaunstein;1;8.610
05.12.20;#2789;Germany;Waldbrunn;Alaunstein;1;8.610
05.12.20;#2793;Germany;Duisburg;Alaunstein;1;8.610
05.12.20;#2794;Germany;Rödental;Alaunstein;3;25.840
05.12.20;#2796;Germany;Nieder Olm;Alaunstein;1;8.610
06.12.20;#2798;Germany;Dinslaken;Alaunstein;1;8.610
06.12.20;#2808;Germany;Böblingen;Alaunstein;1;8.610
06.12.20;#2809;Germany;Neuhof;Alaunstein;1;8.610
06.12.20;#2811;Germany;Burg;Alaunstein;1;8.610
07.12.20;#2821;Germany;Münster;Alaunstein;1;8.610
07.12.20;#2823;Germany;Stuttgart;Alaunstein;1;8.610
07.12.20;#2825;Germany;Seligenstadt;Alaunstein;1;8.610
08.12.20;#2837;Germany;Puchheim;Alaunstein;1;8.610
09.12.20;#2866;Germany;Weidenbach;Alaunstein;1;8.610
09.12.20;#2867;Germany;Cottbus;Alaunstein;1;8.610
09.12.20;#2868;Germany;Doberschütz;Alaunstein;1;8.610
09.12.20;#2871;Germany;Kiel;Alaunstein;1;8.610
09.12.20;#2872;Germany;Doberschütz;Alaunstein;1;8.610
10.12.20;#2877;Germany;Dresden;Alaunstein;1;8.610
10.12.20;#2882;Germany;Gomaringen;Alaunstein;1;8.610
10.12.20;#2888;Germany;Ballhausen;Alaunstein;1;8.610
10.12.20;#2893;Germany;Garching;Alaunstein;1;8.610
10.12.20;#2894;Germany;Kreuztal;Alaunstein;1;8.610
10.12.20;#2896;Germany;Lollar;Alaunstein;1;8.610
11.12.20;#2899;Germany;Pölitz;Alaunstein;1;8.610
11.12.20;#2900;Germany;Wolfenbüttel;Alaunstein;1;8.610
11.12.20;#2918;Germany;Oberasbach;Alaunstein;1;8.610
12.12.20;#2930;Germany;Gornsdorf;Alaunstein;1;8.610
12.12.20;#2932;Germany;Sindelfingen;Alaunstein;1;8.610
12.12.20;#2937;Germany;Bad Staffelstein;Alaunstein;1;8.610
13.12.20;#2957;Germany;München;Alaunstein;1;8.610
13.12.20;#2958;Germany;Wolfsheim;Alaunstein;1;8.610
13.12.20;#2959;Germany;Harpstedt;Alaunstein;1;8.610
13.12.20;#2963;Germany;Bamberg;Alaunstein;1;8.610
13.12.20;#2968;Germany;Delitzsch;Alaunstein;1;8.610
13.12.20;#2971;Germany;Hamburg;Alaunstein;1;8.610
13.12.20;#2976;Germany;Bad Harzburg;Alaunstein;1;8.610
13.12.20;#2978;Germany;Murr;Alaunstein;1;8.610
13.12.20;#2981;Germany;Windach;Alaunstein;1;8.610
13.12.20;#2988;Germany;Hamburg;Alaunstein;1;8.610
13.12.20;#2993;Germany;Jüchen;Alaunstein;1;8.610
13.12.20;#2996;Germany;Mannheim;Alaunstein;1;8.610
13.12.20;#3004;Germany;München;Alaunstein;1;8.610
14.12.20;#3008;Germany;Amstetten;Alaunstein;1;8.610
15.12.20;#3039;Germany;Heusenstamm;Alaunstein;1;8.610
15.12.20;#3040;Germany;Schöneiche;Alaunstein;1;8.610
15.12.20;#3042;Germany;Köln;Alaunstein;1;8.610
15.12.20;#3043;Germany;Saarbrücken Ensheim;Alaunstein;1;8.610
15.12.20;#3050;Germany;Teterow;Alaunstein;1;8.610
15.12.20;#3055;Germany;Regensburg;Alaunstein;1;8.610
15.12.20;#3056;Germany;Vellmar;Alaunstein;1;8.610
15.12.20;#3060;Germany;Burgthann;Alaunstein;1;8.610
16.12.20;#3063;Germany;Bünde;Alaunstein;1;8.610
16.12.20;#3064;Germany;Michelstadt;Alaunstein;1;8.610
16.12.20;#3080;Germany;Stahnsdorf;Alaunstein;1;8.610
16.12.20;#3081;Germany;Neustadt An Der Weinstraße;Alaunstein;1;8.610
16.12.20;#3100;Germany;Niederau;Alaunstein;1;8.610
16.12.20;#3103;Germany;Falkenstein;Alaunstein;1;8.610
17.12.20;#3124;Austria;Podersdorf;Alaunstein;1;8.610
17.12.20;#3151;Germany;Erkrath;Alaunstein;1;8.610
17.12.20;#3166;Germany;Pfaffenhofen;Alaunstein;1;8.610
